ID,Number,Material,Material_x,Sample_Type,Reference,Notes,West_Subdomain,Domain,Latitude,Longitude,Height_m,Age_ma,T_age_Ma,B_age_Ma,d18O_smow,d13C,dD,d18Oprecip,timeslice
ELK_HF,ELK8,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,NA,Central,40.6114,-115.692,NaN,15,NaN,NaN,12.11,-2.2,NaN,NaN,post-OHT
ELK_HF,ELK9,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,NA,Central,40.6114,-115.692,NaN,15,NaN,NaN,12.46,-2.57,NaN,NaN,post-OHT
ELK_IW,IW1,calcite,carbonate,Fluvial Cement,Chamberlain et al 2012,NA,NA,Central,40.5064,-115.8704,NaN,38.9,NaN,NaN,13.36,0.28,NaN,NaN,pre-OHT
ELK_IW,IW10,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,NA,Central,40.5064,-115.8704,NaN,38.4,NaN,NaN,13.04,-4.96,NaN,NaN,pre-OHT
ELK_IW,IW11,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,NA,Central,40.5064,-115.8704,NaN,38.4,NaN,NaN,9.23,-4.22,NaN,NaN,pre-OHT
ELK_IW,IW12,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,NA,Central,40.5064,-115.8704,NaN,38.3,NaN,NaN,10.73,-4.34,NaN,NaN,pre-OHT
ELK_IW,IW13,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,NA,Central,40.5064,-115.8704,NaN,38.3,NaN,NaN,11.19,-4.81,NaN,NaN,pre-OHT
ELK_IW,IW15,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,NA,Central,40.5064,-115.8704,NaN,38.2,NaN,NaN,11.29,-5.66,NaN,NaN,pre-OHT
ELK_IW,IW16,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,NA,Central,40.5064,-115.8704,NaN,38.2,NaN,NaN,11.67,-4.6,NaN,NaN,pre-OHT
ELK_IW,IW17,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,NA,Central,40.5064,-115.8704,NaN,38.1,NaN,NaN,10.17,-4.27,NaN,NaN,pre-OHT
ELK_IW,IW18,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,NA,Central,40.5064,-115.8704,NaN,38,NaN,NaN,10.01,-5.38,NaN,NaN,pre-OHT
ELK_IW,IW19,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,NA,Central,40.5064,-115.8704,NaN,38,NaN,NaN,12,-4.68,NaN,NaN,pre-OHT
ELK_IW,IW2,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,NA,Central,40.5064,-115.8704,NaN,38.9,NaN,NaN,18.6,0.17,NaN,NaN,pre-OHT
