ID,Number,Sample,Latitude,Longitude,Height_m,Age_ma,T_age_Ma,B_age_Ma,d18O_smow,d13C,dD,Sample_Type,Material,Reference,dDprecip,d18Oprecip,Notes,More_notes,Other_data_type,Other_data_value,Event,Published_interpretation,Previously_published,West_Subdomain,Material_x,Domain,Filtered,Filtered_reason
RCMU,06NR14,06NR14,45.8604,-111.1607,NA,5,NA,NA,14.04,-8.74,NA,Paleosol Carbonate,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
URCK,RCU6,MT-RCU 6-07,45.011,-112.122,NA,2.6,NA,NA,12.98,1.71,NA,Paleosol Carbonate,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
URCK,RCU7,MT-RCU 7-07,45.011,-112.122,NA,2.6,NA,NA,13.49,-2.19,NA,Paleosol Carbonate,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
URCK,RCU8,MT-RCU 8-07,45.011,-112.122,NA,2.9,NA,NA,13.69,-2.48,NA,Paleosol Carbonate,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
URCK,RCU9,MT-RCU 9-07,45.011,-112.122,NA,3.2,NA,NA,13.01,-3.59,NA,Paleosol Carbonate,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
URCK,RCU10,MT-RCU 10-07,45.011,-112.122,NA,3.3,NA,NA,13.12,-1.06,NA,Paleosol Carbonate,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
URCK,RCU11,MT-RCU 11-07,45.011,-112.122,NA,3.4,NA,NA,13.23,-4.83,NA,Paleosol Carbonate,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
URCK,RCU12,MT-RCU 12-07,45.011,-112.122,NA,3.5,NA,NA,13.02,0.13,NA,Paleosol Carbonate,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
URCK,RCU13,MT-RCU 13-07,45.011,-112.122,NA,3.8,NA,NA,14.12,-5.39,NA,Paleosol Carbonate,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
URCK,RCU14,MT-RCU 14-07,45.011,-112.122,NA,3.9,NA,NA,14.11,-6.67,NA,Paleosol Carbonate,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
URCK,RCU15,MT-RCU 15-07,45.011,-112.122,NA,4,NA,NA,13.5,-3.9,NA,Paleosol Carbonate,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
